Parcel_ID,GPIN,Property Street,House Number,Block Number,Full Road Name,Road Name,Property City,Property State,Property Zip,Zip Code Short,Neighborhood,Property Use,Parcel Square Footage,Finished Living Space,2016 Land,2016 Building,2015 Land,2015 Building,2012 Land,2012 Building,Most Recent Sale Date, Sale Price 
71051834                  ,1427895730,321 Raleigh Av,321 ,300,Raleigh Av,Raleigh Av,Norfolk                         ,VA  ,23507-1849,23507,150400,Single Family - Detached,0,3469,152600,361900,152600,361900,152600,361900,Sep 17 2013,587500
71051836                  ,1427895669,317 Raleigh Av,317 ,300,Raleigh Av,Raleigh Av,Norfolk                         ,VA  ,23507-1849,23507,150400,Single Family - Detached,0,4416,152600,441600,152600,441600,152600,441600,May 16 1985,218000
71051838                  ,1427896607,313 Raleigh Av,313 ,300,Raleigh Av,Raleigh Av,Norfolk                         ,VA  ,23507-1849,23507,150400,Single Family - Detached,5000,3509,190700,393400,190700,393400,190700,393400,Oct 30 2012,599900
71284420                  ,1428605091,600 Fairfax Av,600 ,600,Fairfax Av,Fairfax Av,Norfolk                         ,VA  ,23507-2063,23507,150690,Non-Taxable,73492,NULL,1653500,4950000,1653500,4950000,1653500,4950000,Jun 30 1988,0
71391000                  ,1427793666,511 W Olney Rd,511 ,500,W Olney Rd,W Olney ,Norfolk                         ,VA  ,,,150600,Non-Taxable,0,NULL,245000,0,245000,0,245000,0,Apr 13 1990,0
71394210                  ,1427792732,525 W Olney Rd,525 ,500,W Olney Rd,W Olney ,Norfolk                         ,VA  ,,,150600,Non-Taxable,0,NULL,192500,0,192500,0,192500,0,Apr 13 1990,0
71396010                  ,1427791766,533 W Olney Rd,533 ,500,W Olney Rd,W Olney ,Norfolk                         ,VA  ,,,150600,Non-Taxable,0,NULL,580800,0,580800,0,580800,0,Apr 13 1990,0
71397810                  ,1427790876,598 Mowbray Arch,598 ,500,Mowbray Arch,Mowbray Arch,Norfolk                         ,VA  ,,,150600,Non-Taxable,0,NULL,103000,0,103000,0,103000,0,Apr 13 1990,0
71399600                  ,1427794616,505 W Olney Rd,505 ,500,W Olney Rd,W Olney ,Norfolk                         ,VA  ,23507-0000,23507,150600,Non-Taxable,0,NULL,128500,0,128500,0,128500,0,Apr 13 1990,0
71399610                  ,1427792770,521 W Olney Rd,521 ,500,W Olney Rd,W Olney ,Norfolk                         ,VA  ,,,150600,Non-Taxable,0,NULL,40500,0,40500,0,40500,0,Apr 13 1990,0
71399800                  ,1427797455,401 W Olney Rd,401 ,400,W Olney Rd,W Olney ,Norfolk                         ,VA  ,23507-1824,23507,150600,Non-Taxable,0,NULL,1262500,0,1262500,0,1262500,0,Apr 13 1990,0
71401410                  ,1427793618,517 W Olney Rd,517 ,500,W Olney Rd,W Olney ,Norfolk                         ,VA  ,,,150600,Non-Taxable,0,NULL,200500,0,200500,0,200500,0,Apr 13 1990,0
71402500                  ,1427688725,526 Mowbray Arch,526 ,500,Mowbray Arch,Mowbray Arch,Norfolk                         ,VA  ,23507-2112,23507,150650,Single Family - Detached,0,2657,193200,291000,193200,322400,193200,322400,Jan 13 2011,0
71410100                  ,1427893160,513 Mowbray Arch,513 ,500,Mowbray Arch,Mowbray Arch,Norfolk                         ,VA  ,23507-2134,23507,150600,Single Family - Detached,6700,3389,192500,398900,192500,379600,192500,379600,Dec  2 2003,0
71433850                  ,1427893184,517 Mowbray Arch,517 ,500,Mowbray Arch,Mowbray Arch,Norfolk                         ,VA  ,23507-2134,23507,150600,Single Family - Detached,7000,3389,192500,400400,192500,381000,192500,381000,Sep 11 2014,575000
72723050                  ,1427776978,390 W Brambleton Av,390 ,300,W Brambleton Av,W Brambleton ,Norfolk                         ,VA  ,23510,23510,150990,Non-Taxable,14023,NULL,560900,0,560900,0,560900,0,Nov 16 1993,0
72723055                  ,1427782077,400 W Brambleton Av,400 ,400,W Brambleton Av,W Brambleton ,Norfolk                         ,VA  ,23510-1115,23510,150990,Non-Taxable,33364,NULL,1334500,0,1334500,0,1334500,0,Nov 16 1993,0
